antecedents_str,support_train,confidence_train,lift_train,coverage_test,confidence_test,lift_test,ante_len,lift,confidence,support,antecedents_list
"DIVISION=I, SEQ_DUTY_DAYS_bin=SEQ_DUTY_DAYS=(2.0, 4.0]",0.10210542979262308,0.4893778452200303,1.6322068892581476,0.20790251107828656,0.4689165186500888,1.539182948490231,2,1.6322068892581476,0.4893778452200303,0.10210542979262308,"['DIVISION=I', 'SEQ_DUTY_DAYS_bin=SEQ_DUTY_DAYS=(2.0, 4.0]']"
"BASE=DFW, SEQ_DUTY_DAYS_bin=SEQ_DUTY_DAYS=(2.0, 4.0]",0.049707139464935886,0.48757763975155277,1.6262027192769584,0.09416543574593796,0.4666666666666667,1.53179797979798,2,1.6262027192769584,0.48757763975155277,0.049707139464935886,"['BASE=DFW', 'SEQ_DUTY_DAYS_bin=SEQ_DUTY_DAYS=(2.0, 4.0]']"
"LAYOVER_bin=LAYOVER=(16.0, 21.0], SEQ_START_HRS_bin=SEQ_START_HRS=(4.999, 8.0]",0.03656799113503245,0.39827586206896554,1.3283572442923206,0.0982274741506647,0.46616541353383456,1.5301526543631807,2,1.3283572442923206,0.39827586206896554,0.03656799113503245,"['LAYOVER_bin=LAYOVER=(16.0, 21.0]', 'SEQ_START_HRS_bin=SEQ_START_HRS=(4.999, 8.0]']"
"MAX_LEGS_PER_DAY_bin=MAX_LEGS_PER_DAY=(2.0, 3.0], SEQ_CAL_DAYS_bin=SEQ_CAL_DAYS=(2.0, 3.0]",0.08358397973721704,0.4693333333333334,1.5653530447025696,0.18057607090103397,0.46421267893660534,1.523742950982215,2,1.5653530447025696,0.4693333333333334,0.08358397973721704,"['MAX_LEGS_PER_DAY_bin=MAX_LEGS_PER_DAY=(2.0, 3.0]', 'SEQ_CAL_DAYS_bin=SEQ_CAL_DAYS=(2.0, 3.0]']"
"FLEET=320, SEQ_TTL_FLTTIME_bin=SEQ_TTL_FLTTIME=(11.0, 16.0]",0.04432483773943328,0.4778156996587031,1.593644020456192,0.09084194977843427,0.4634146341463415,1.5211234294161124,2,1.593644020456192,0.4778156996587031,0.04432483773943328,"['FLEET=320', 'SEQ_TTL_FLTTIME_bin=SEQ_TTL_FLTTIME=(11.0, 16.0]']"
"FLIGHT_PATTERN=OTHER, start_month=8",0.022795630837422826,0.39452054794520547,1.315832260490952,0.04615952732644018,0.456,1.4967854545454546,2,1.315832260490952,0.39452054794520547,0.022795630837422826,"['FLIGHT_PATTERN=OTHER', 'start_month=8']"
"SEQ_CAL_DAYS_bin=SEQ_CAL_DAYS=(2.0, 3.0], SEQ_START_HRS_bin=SEQ_START_HRS=(4.999, 8.0]",0.05129016938420136,0.43902439024390244,1.464264558168285,0.12001477104874446,0.4523076923076923,1.4846657342657343,2,1.464264558168285,0.43902439024390244,0.05129016938420136,"['SEQ_CAL_DAYS_bin=SEQ_CAL_DAYS=(2.0, 3.0]', 'SEQ_START_HRS_bin=SEQ_START_HRS=(4.999, 8.0]']"
"BASE=DFW, LAYOVER_bin=LAYOVER=(11.0, 16.0]",0.03894253601393066,0.44727272727272727,1.4917749832005376,0.0742245199409158,0.44776119402985076,1.469742198100407,2,1.4917749832005376,0.44727272727272727,0.03894253601393066,"['BASE=DFW', 'LAYOVER_bin=LAYOVER=(11.0, 16.0]']"
"MAX_LEGS_PER_DAY_bin=MAX_LEGS_PER_DAY=(2.0, 3.0], start_dow=Saturday",0.020104479974671522,0.40445859872611467,1.3489783358779655,0.05132939438700148,0.43884892086330934,1.4404883366034444,2,1.3489783358779655,0.40445859872611467,0.020104479974671522,"['MAX_LEGS_PER_DAY_bin=MAX_LEGS_PER_DAY=(2.0, 3.0]', 'start_dow=Saturday']"
"LAYOVER_bin=LAYOVER=(11.0, 16.0], SEQ_START_HRS_bin=SEQ_START_HRS=(10.0, 14.0]",0.031660598385309484,0.4415011037527594,1.4725250646283956,0.06757754800590841,0.4371584699453552,1.4349395595297234,2,1.4725250646283956,0.4415011037527594,0.031660598385309484,"['LAYOVER_bin=LAYOVER=(11.0, 16.0]', 'SEQ_START_HRS_bin=SEQ_START_HRS=(10.0, 14.0]']"
